hub_id,company_name,sido,address,matched_address,lat,lon,area_m2,fixed_cost,capacity_tons,storage_item,일반창고면적,냉동냉장창고면적,보관장소면적
WH_03303,삼한산업(주)제1탱크터미널,부산광역시,부산광역시 사하구 감천항로 80 삼한산업(주)제1탱크터미널,부산 사하구 감천항로 80,35.0848963536161,128.993390295438,13200.0,13200000.0,1320000.0,Mixed,13200,0,0
WH_03304,오성탱크터미널,경기도,경기도 시흥시 수인로 2732-20 ,경기 시흥시 수인로 2732-20,37.4071955428984,126.829667655331,6612.0,6612000.0,661200.0,Mixed,6612,0,0
WH_03305,자이언트그룹 인천물류센터,인천광역시,"인천광역시 중구 공항동로296번길 97-45 P3 , 자이언트네트워크그룹",인천 중구 공항동로296번길 97-45,37.4811189977348,126.478103778299,6088.5,6088500.0,608850.0,Mixed,6088.5,0,0
WH_03306,(주)한익스프레스,전라남도,전라남도 여수시 여수산단 611 (중흥동) ,,34.8679,126.991,22118.0,22118000.0,2211800.0,Mixed,22118,0,0
WH_03307,(주)한익스프레스,전라남도,전라남도 여수시 산단중앙로 43-42 전라남도 여수시 산단중앙로 43-42(화치동),전남 여수시 산단중앙로 43-42,34.8264981071415,127.644122213567,22118.0,22118000.0,2211800.0,Mixed,22118,0,0
WH_03308,(주)영풍물류 구미지점,경상북도,경상북도 구미시 산동읍 산호대로 1226 영풍물류,경북 구미시 산동읍 산호대로 1226,36.1330890679414,128.462672864487,3466.0,3466000.0,346600.0,Mixed,3466,0,0
WH_03309,고려비철금속(주) 유독물창고,인천광역시,인천광역시 남동구 앵고개로 675-4 고잔동 296-1,,37.4563,126.7052,868.0,868000.0,86800.0,Mixed,868,0,0
WH_03310,㈜제이에이치씨,충청북도,충청북도 청주시 청원구 오창읍 두릉유리로 48 -,충북 청주시 청원구 오창읍 두릉유리로 48,36.7333090767253,127.348951793791,9768.5,9768500.0,976850.0,Mixed,9768.5,0,0
WH_03311,세방(주) 영일만항창고,경상북도,경상북도 포항시 북구 흥해읍 영일만항로 286 경상북도 포항시 북구 흥해읍 용한리 904,경북 포항시 북구 흥해읍 영일만항로 286,36.0975765372994,129.431491211339,5363.5,5363500.0,536350.0,Mixed,5363.5,0,0
WH_03312,주식회사 케이앤티로지스틱스,경기도,경기도 화성시 양감면 은행나무로62번길 18-99 요당리 103-12,,37.4138,127.5183,29967.4,29967400.0,2996740.0,Mixed,29967.4,0,0
WH_03313,㈜목산,경기도,경기도 화성시 푸른들판로 1209 ,경기 화성시 효행구 비봉면 푸른들판로 1209,37.2108790050198,126.870694476885,4398.0,4398000.0,439800.0,Mixed,4398,0,0
WH_03314,스마트로지스 주식회사,경기도,경기도 평택시 청북읍 광승길 159-46 스마트로지스(주),경기 평택시 청북읍 광승길 159-46,37.0518487915223,126.94332229394,10928.0,10928000.0,1092800.0,Mixed,10928,0,0
WH_03315,(주)진양에너지,충청북도,충청북도 음성군 한삼로91 29-16 ,,36.6357,127.4913,2000.0,2000000.0,200000.0,Mixed,2000,0,0
WH_03316,케이디켐 (주) 안산지점,경기도,경기도 안산시 단원구 해안로 234(원시동) (원시동),경기 안산시 단원구 해안로 234,37.296155440802,126.782697333613,7634.0,7634000.0,763400.0,Mixed,7634,0,0
WH_03317,(주)케이씨씨 대구영업소,경상북도,경상북도 칠곡군 지천면 금호로 272 (주)영남복합물류공사 26동 창고,경북 칠곡군 지천면 금호로 272,35.961460871215,128.451012229715,1815.52,1815520.0,181552.0,Mixed,1815.52,0,0
WH_03318,한일탱크터미널(주),인천광역시,인천광역시 중구 서해대로179번길 70 (항동7가),인천 중구 서해대로179번길 70,37.4477079458847,126.613991609431,27159.0,27159000.0,2715900.0,Mixed,27159,0,0
WH_03319,솔브레인(주) 제9공장,충청남도,충청남도 공주시 공단길 14-102 (검상동),충남 공주시 공단길 14-102,36.4322902586807,127.077742543591,2187.02,2187020.0,218702.0,Mixed,2187.02,0,0
WH_03320,황성물류(주),전라남도,전라남도 광양시 광양읍 백운로 320 황성물류,전남 광양시 광양읍 백운로 320,34.9594601558872,127.619693562632,9646.0,9646000.0,964600.0,Mixed,9646,0,0
WH_03321,씨제이대한통운 ,전라남도,전라남도 여수시 산단중앙로 10 ,전남 여수시 산단중앙로 10,34.8225926482567,127.640367116856,16708.7,16708700.0,1670870.0,Mixed,16708.7,0,0
WH_03322,금강물류(주),경상북도,경상북도 구미시 오태길 230 금강물류,경북 구미시 오태길 230,36.0714164377631,128.372623110846,280.0,280000.0,28000.0,Mixed,280,0,0
WH_03323,행운디엔씨,경상남도,경상남도 창원시 진해구 안골로 94 (안골동),경남 창원시 진해구 안골로 94,35.0926879401951,128.790773286216,2638.1,2638100.0,263810.0,Mixed,2638.1,0,0
WH_03324,에스케이실트론(주) 3공장,경상북도,경상북도 구미시 3공단3로 132-11 에스케이실트론(주) 3공장,경북 구미시 3공단3로 132-11,36.0939363852523,128.415209938101,184869.6,184869600.0,18486960.0,Mixed,184869.6,0,0
WH_03325,미쓰이소꼬코리아(주),경상남도,경상남도 창원시 진해구 신항10로 7  미쓰이소꼬코리아(주),경남 창원시 진해구 신항10로 7,35.0927346978808,128.765752947077,36780.0,36780000.0,3678000.0,Mixed,36780,0,0
WH_03326,솔브레인(주) 제3공장,충청남도,충청남도 공주시 공단길 34-32 (검상동),충남 공주시 공단길 34-32,36.4331717349215,127.075995196829,35513.1,35513100.0,3551310.0,Mixed,35513.1,0,0
WH_03327,지성,전라남도,전라남도 광양시 항만2로 97 (주)지성,전남 광양시 항만2로 97,34.9046790802684,127.644986723928,32955.0,32955000.0,3295500.0,Mixed,32955,0,0
WH_03328,티아이로지스 주식회사,경기도,경기도 평택시 청북읍 원한산길 145 티아이로지스 주식회사,,37.4138,127.5183,7773.0,7773000.0,777300.0,Mixed,7773,0,0
WH_03329,티이엠씨에이엠(주),충청북도,충청북도 청주시 상당구 가덕면 국전길 130 티이엠씨에이엠주),충북 청주시 상당구 가덕면 국전길 130,36.5289089920728,127.513775307745,5624.0,5624000.0,562400.0,Mixed,5624,0,0
WH_03330,(주)에어로코텍 2공장,경상남도,경상남도 사천시 사남면 외국기업로 35 (주)에어로코텍 2공장,경남 사천시 사남면 외국기업로 35,35.0658167563808,128.0667578657,29680.8,29680800.0,2968080.0,Mixed,29680.8,0,0
WH_03331,회명산업(주) 2공장,충청남도,충청남도 천안시 서북구 백석공단3길 50 회명산업 2공장,충남 천안시 서북구 백석공단3길 50,36.8296906170682,127.112406686049,9362.0,9362000.0,936200.0,Mixed,9362,0,0
WH_03332,비케이로지텍 주식회사	,경기도,경기도 화성시 장안면 포승장안로 768 비케이로지텍 주식회사,,37.4138,127.5183,6912.0,6912000.0,691200.0,Mixed,6912,0,0
WH_03333,주식회사 태진물류,경기도,경기도 평택시 청북읍 청북로 161-23 161-23,,37.4138,127.5183,8016.0,8016000.0,801600.0,Mixed,8016,0,0
WH_03334,파이브솔루션(주),경상북도,경상북도 성주군 월항면 보암공단길 26-48 파이브솔루션(주),경북 성주군 월항면 보암공단길 26-48,35.9681535786902,128.294592330593,6912.0,6912000.0,691200.0,Mixed,6912,0,0
WH_03335,서해탱크터미널,경기도,경기도 김포시 하성면 하성로 615 서해탱크터미널,,37.4138,127.5183,9926.0,9926000.0,992600.0,Mixed,9926,0,0
WH_03336,㈜비에스씨앤씨,인천광역시,인천광역시 서구 건지로86번길 9 (가좌동),인천 서구 건지로86번길 9,37.4980998235262,126.651808248845,1680.1,1680100.0,168010.0,Mixed,1680.1,0,0
